datum;tijd;meetwaarde (m NAP)
01-01-2013;00:00;687.8
01-01-2013;03:00;687.7
01-01-2013;06:00;687.6
01-01-2013;09:00;688.1
01-01-2013;12:00;687.8
01-01-2013;15:00;687.9
01-01-2013;18:00;688.6
01-01-2013;21:00;688
02-01-2013;00:00;688.6
02-01-2013;03:00;688.5
02-01-2013;06:00;688.2
02-01-2013;09:00;688.4
02-01-2013;12:00;688.1
02-01-2013;15:00;688.1
02-01-2013;18:00;688.3
02-01-2013;21:00;688.2
03-01-2013;00:00;689
03-01-2013;03:00;688.3
03-01-2013;06:00;688.4
03-01-2013;09:00;688.3
03-01-2013;12:00;688.3
03-01-2013;15:00;687.6
03-01-2013;18:00;687.6
03-01-2013;21:00;687.4
04-01-2013;00:00;687.1
04-01-2013;03:00;688
04-01-2013;06:00;687
04-01-2013;09:00;687.5
04-01-2013;12:00;687.7
04-01-2013;15:00;687.2
04-01-2013;18:00;686.7
04-01-2013;21:00;687.1
05-01-2013;00:00;687.2
05-01-2013;03:00;686.7
05-01-2013;06:00;687
05-01-2013;09:00;686.5
05-01-2013;12:00;687.1
05-01-2013;15:00;687.1
05-01-2013;18:00;687
05-01-2013;21:00;686.5
06-01-2013;00:00;686.2
06-01-2013;03:00;686.7
06-01-2013;06:00;687
06-01-2013;09:00;686.6
06-01-2013;12:00;685.9
06-01-2013;15:00;686.3
06-01-2013;18:00;686.2
06-01-2013;21:00;686.3
07-01-2013;00:00;686.1
07-01-2013;03:00;685.9
07-01-2013;06:00;686
07-01-2013;09:00;686
07-01-2013;12:00;686.1
07-01-2013;15:00;686.3
07-01-2013;18:00;686
07-01-2013;21:00;685.7
08-01-2013;00:00;685.4
08-01-2013;03:00;685.7
08-01-2013;06:00;685.6
08-01-2013;09:00;685.6
08-01-2013;12:00;685.4
08-01-2013;15:00;685
08-01-2013;18:00;685.3
08-01-2013;21:00;685.2
09-01-2013;00:00;684.9
09-01-2013;03:00;685.7
09-01-2013;06:00;685.4
09-01-2013;09:00;685
09-01-2013;12:00;685.1
09-01-2013;15:00;685.2
09-01-2013;18:00;685
09-01-2013;21:00;685.4
10-01-2013;00:00;684.9
10-01-2013;03:00;685
10-01-2013;06:00;685.2
10-01-2013;09:00;685.2
10-01-2013;12:00;685.1
10-01-2013;15:00;685.2
10-01-2013;18:00;685.3
10-01-2013;21:00;685.1
11-01-2013;00:00;685.5
11-01-2013;03:00;684.9
11-01-2013;06:00;684.8
11-01-2013;09:00;684.8
11-01-2013;12:00;684.8
11-01-2013;15:00;684.4
11-01-2013;18:00;684.4
11-01-2013;21:00;684.2
12-01-2013;00:00;684
12-01-2013;03:00;684.1
12-01-2013;06:00;683.9
12-01-2013;09:00;683.7
12-01-2013;12:00;684.1
12-01-2013;15:00;683.4
12-01-2013;18:00;683.5
12-01-2013;21:00;683.9
13-01-2013;00:00;683.9
13-01-2013;03:00;683.7
13-01-2013;06:00;683.8
13-01-2013;09:00;683.8
13-01-2013;12:00;683.2
13-01-2013;15:00;683.6
13-01-2013;18:00;683.6
13-01-2013;21:00;683
14-01-2013;00:00;683.4
14-01-2013;03:00;683.1
14-01-2013;06:00;682.9
14-01-2013;09:00;683
14-01-2013;12:00;682.6
14-01-2013;15:00;683.3
14-01-2013;18:00;682.8
14-01-2013;21:00;682.6
15-01-2013;00:00;683.3
15-01-2013;03:00;683.6
15-01-2013;06:00;683.2
15-01-2013;09:00;682.7
15-01-2013;12:00;683.4
15-01-2013;15:00;683.1
15-01-2013;18:00;683.2
15-01-2013;21:00;682.9
16-01-2013;00:00;682
16-01-2013;03:00;681.7
16-01-2013;06:00;682.4
16-01-2013;09:00;682
16-01-2013;12:00;681.8
16-01-2013;15:00;681.5
16-01-2013;18:00;681.4
16-01-2013;21:00;681.1
17-01-2013;00:00;681
17-01-2013;03:00;680.9
17-01-2013;06:00;680.3
17-01-2013;09:00;680.3
17-01-2013;12:00;680.3
17-01-2013;15:00;680.4
17-01-2013;18:00;680.2
17-01-2013;21:00;680.1
18-01-2013;00:00;679.9
18-01-2013;03:00;680.3
18-01-2013;06:00;680
18-01-2013;09:00;679.8
18-01-2013;12:00;680.2
18-01-2013;15:00;681.6
18-01-2013;18:00;679.9
18-01-2013;21:00;680.2
19-01-2013;00:00;680.5
19-01-2013;03:00;680.3
19-01-2013;06:00;680.9
19-01-2013;09:00;680.2
19-01-2013;12:00;680.2
19-01-2013;15:00;680
19-01-2013;18:00;680.4
19-01-2013;21:00;680.2
20-01-2013;00:00;679.7
20-01-2013;03:00;679.9
20-01-2013;06:00;680.3
20-01-2013;09:00;679.6
20-01-2013;12:00;680
20-01-2013;15:00;679.9
20-01-2013;18:00;680.1
20-01-2013;21:00;679.2
21-01-2013;00:00;679
21-01-2013;03:00;679.1
21-01-2013;06:00;679.1
21-01-2013;09:00;678.9
21-01-2013;12:00;678.5
21-01-2013;15:00;678.3
21-01-2013;18:00;678
21-01-2013;21:00;678.3
22-01-2013;00:00;677.7
