station_abbr;reference_timestamp;ths200dn;ths200dx;ths200d0;th9120dv;th91dndv;th91dxdv
GRH;01.01.1932 00:00;;;-15.5;-11.4;;
GRH;02.01.1932 00:00;;;-6.2;-2;;
GRH;03.01.1932 00:00;;;-1.2;3;;
GRH;04.01.1932 00:00;;;-2.8;1.4;;
GRH;05.01.1932 00:00;;;-1.3;2.9;;
GRH;06.01.1932 00:00;;;-0.2;4;;
GRH;07.01.1932 00:00;;;-1;3.3;;
GRH;08.01.1932 00:00;;;-2.9;1.4;;
GRH;09.01.1932 00:00;;;-7;-2.7;;
GRH;10.01.1932 00:00;;;-6.2;-1.9;;
GRH;11.01.1932 00:00;;;-5.3;-1;;
GRH;12.01.1932 00:00;;;-2.1;2.3;;
GRH;13.01.1932 00:00;;;-0.6;3.8;;
GRH;14.01.1932 00:00;;;1.4;5.8;;
GRH;15.01.1932 00:00;;;-2.8;1.7;;
GRH;16.01.1932 00:00;;;-0.2;4.3;;
GRH;17.01.1932 00:00;;;-2;2.5;;
GRH;18.01.1932 00:00;;;-1.5;3;;
GRH;19.01.1932 00:00;;;-4.2;0.4;;
GRH;20.01.1932 00:00;;;-3.1;1.5;;
GRH;21.01.1932 00:00;;;-3.7;0.9;;
GRH;22.01.1932 00:00;;;-5.2;-0.5;;
GRH;23.01.1932 00:00;;;-4.2;0.5;;
GRH;24.01.1932 00:00;;;-1;3.7;;
GRH;25.01.1932 00:00;;;-1.5;3.3;;
GRH;26.01.1932 00:00;;;-0.6;4.2;;
GRH;27.01.1932 00:00;;;-1.1;3.7;;
GRH;28.01.1932 00:00;;;0.4;5.3;;
GRH;29.01.1932 00:00;;;-0.6;4.3;;
GRH;30.01.1932 00:00;;;-2.5;2.4;;
GRH;31.01.1932 00:00;;;-2.2;2.8;;
GRH;01.02.1932 00:00;;;-3.7;1.3;;
GRH;02.02.1932 00:00;;;-5.4;-0.3;;
GRH;03.02.1932 00:00;;;-4.6;0.5;;
GRH;04.02.1932 00:00;;;-3.4;1.7;;
GRH;05.02.1932 00:00;;;-1.8;3.4;;
GRH;06.02.1932 00:00;;;-3.1;2.1;;
GRH;07.02.1932 00:00;;;-5.5;-0.3;;
GRH;08.02.1932 00:00;;;-5.2;0;;
GRH;09.02.1932 00:00;;;-9.4;-4.2;;
GRH;10.02.1932 00:00;;;-12;-6.8;;
GRH;11.02.1932 00:00;;;-19.2;-14;;
GRH;12.02.1932 00:00;;;-15.6;-10.4;;
GRH;13.02.1932 00:00;;;-11.2;-6.1;;
GRH;14.02.1932 00:00;;;-8.8;-3.7;;
GRH;15.02.1932 00:00;;;-9.4;-4.3;;
GRH;16.02.1932 00:00;;;-12;-7;;
GRH;17.02.1932 00:00;;;-11.1;-6.1;;
GRH;18.02.1932 00:00;;;-8.4;-3.4;;
GRH;19.02.1932 00:00;;;-11.1;-6.2;;
GRH;20.02.1932 00:00;;;-11.2;-6.3;;
GRH;21.02.1932 00:00;;;-9.6;-4.8;;
GRH;22.02.1932 00:00;;;-8.8;-4.1;;
GRH;23.02.1932 00:00;;;-8.7;-4;;
GRH;24.02.1932 00:00;;;-8;-3.4;;
GRH;25.02.1932 00:00;;;-9.7;-5.2;;
GRH;26.02.1932 00:00;;;-10.7;-6.3;;
GRH;27.02.1932 00:00;;;-11.6;-7.3;;
GRH;28.02.1932 00:00;;;-10.8;-6.6;;
GRH;29.02.1932 00:00;;;-8.7;-4.6;;
GRH;01.03.1932 00:00;;;-5.9;-2;;
GRH;02.03.1932 00:00;;;-3.5;0.3;;
GRH;03.03.1932 00:00;;;-2.2;1.6;;
GRH;04.03.1932 00:00;;;-2.8;0.9;;
GRH;05.03.1932 00:00;;;-4.1;-0.5;;
GRH;06.03.1932 00:00;;;-6.5;-3;;
GRH;07.03.1932 00:00;;;-9.5;-6.1;;
GRH;08.03.1932 00:00;;;-6.2;-2.9;;
GRH;09.03.1932 00:00;;;-4;-0.8;;
GRH;10.03.1932 00:00;;;-8.2;-5.1;;
GRH;11.03.1932 00:00;;;-11.4;-8.4;;
GRH;12.03.1932 00:00;;;-8.7;-5.8;;
GRH;13.03.1932 00:00;;;-5.3;-2.5;;
GRH;14.03.1932 00:00;;;-2;0.7;;
GRH;15.03.1932 00:00;;;0.5;3.2;;
GRH;16.03.1932 00:00;;;0.1;2.7;;
GRH;17.03.1932 00:00;;;0.1;2.6;;
GRH;18.03.1932 00:00;;;-5.7;-3.3;;
GRH;19.03.1932 00:00;;;-8.4;-6.1;;
GRH;20.03.1932 00:00;;;-9.5;-7.3;;
GRH;21.03.1932 00:00;;;-7.7;-5.5;;
GRH;22.03.1932 00:00;;;-8.3;-6.2;;
GRH;23.03.1932 00:00;;;-9.5;-7.5;;
GRH;24.03.1932 00:00;;;-7.7;-5.8;;
GRH;25.03.1932 00:00;;;-7;-5.2;;
GRH;26.03.1932 00:00;;;-4.4;-2.6;;
GRH;27.03.1932 00:00;;;-2.7;-1;;
GRH;28.03.1932 00:00;;;-2.4;-0.8;;
GRH;29.03.1932 00:00;;;-4.2;-2.7;;
GRH;30.03.1932 00:00;;;-1.4;0.1;;
GRH;31.03.1932 00:00;;;-4.1;-2.7;;
GRH;01.04.1932 00:00;;;-2.8;-1.6;;
GRH;02.04.1932 00:00;;;-2;-0.8;;
GRH;03.04.1932 00:00;;;-1.5;-0.4;;
GRH;04.04.1932 00:00;;;-0.9;0.1;;
GRH;05.04.1932 00:00;;;-3.4;-2.5;;
GRH;06.04.1932 00:00;;;-5.8;-5;;
GRH;07.04.1932 00:00;;;-2.7;-2;;
GRH;08.04.1932 00:00;;;-7.1;-6.5;;
GRH;09.04.1932 00:00;;;-6.3;-5.7;;
GRH;10.04.1932 00:00;;;-2.7;-2.2;;
GRH;11.04.1932 00:00;;;-4.2;-3.8;;
GRH;12.04.1932 00:00;;;-8.4;-8.1;;
GRH;13.04.1932 00:00;;;-9.3;-9.1;;
GRH;14.04.1932 00:00;;;-9.8;-9.8;;
GRH;15.04.1932 00:00;;;-6.1;-6.2;;
GRH;16.04.1932 00:00;;;-2.9;-3.1;;
GRH;17.04.1932 00:00;;;-2.2;-2.5;;
GRH;18.04.1932 00:00;;;-2.9;-3.3;;
GRH;19.04.1932 00:00;;;-4.2;-4.7;;
GRH;20.04.1932 00:00;;;-4.6;-5.2;;
GRH;21.04.1932 00:00;;;-2;-2.8;;
GRH;22.04.1932 00:00;;;-0.6;-1.5;;
GRH;23.04.1932 00:00;;;-0.7;-1.7;;
GRH;24.04.1932 00:00;;;-3.3;-4.4;;
GRH;25.04.1932 00:00;;;-2.7;-4;;
GRH;26.04.1932 00:00;;;-1.1;-2.5;;
GRH;27.04.1932 00:00;;;-0.7;-2.2;;
GRH;28.04.1932 00:00;;;0.4;-1.3;;
GRH;29.04.1932 00:00;;;1.8;0;;
GRH;30.04.1932 00:00;;;2.4;0.5;;
GRH;01.05.1932 00:00;;;1.3;-0.9;;
GRH;02.05.1932 00:00;;;-1.8;-4.2;;
GRH;03.05.1932 00:00;;;-0.1;-2.6;;
GRH;04.05.1932 00:00;;;-0.2;-2.8;;
GRH;05.05.1932 00:00;;;1.6;-1.2;;
GRH;06.05.1932 00:00;;;1.5;-1.4;;
GRH;07.05.1932 00:00;;;0.7;-2.4;;
GRH;08.05.1932 00:00;;;-5.9;-9.1;;
GRH;09.05.1932 00:00;;;-2.4;-5.7;;
GRH;10.05.1932 00:00;;;-4.3;-7.8;;
GRH;11.05.1932 00:00;;;-1.3;-4.9;;
GRH;12.05.1932 00:00;;;3.6;-0.2;;
GRH;13.05.1932 00:00;;;5.6;1.7;;
GRH;14.05.1932 00:00;;;6.8;2.8;;
GRH;15.05.1932 00:00;;;6.8;2.6;;
GRH;16.05.1932 00:00;;;6.4;2.1;;
GRH;17.05.1932 00:00;;;3.5;-0.9;;
GRH;18.05.1932 00:00;;;5.7;1.1;;
GRH;19.05.1932 00:00;;;7;2.3;;
GRH;20.05.1932 00:00;;;8.3;3.4;;
GRH;21.05.1932 00:00;;;7.6;2.6;;
GRH;22.05.1932 00:00;;;0.5;-4.6;;
GRH;23.05.1932 00:00;;;3.1;-2.2;;
GRH;24.05.1932 00:00;;;0.3;-5.1;;
GRH;25.05.1932 00:00;;;1.1;-4.4;;
GRH;26.05.1932 00:00;;;1.2;-4.5;;
GRH;27.05.1932 00:00;;;1.5;-4.3;;
GRH;28.05.1932 00:00;;;2.3;-3.6;;
GRH;29.05.1932 00:00;;;-1.2;-7.3;;
GRH;30.05.1932 00:00;;;0.6;-5.6;;
GRH;31.05.1932 00:00;;;2.2;-4.1;;
GRH;01.06.1932 00:00;;;4.7;-1.9;;
GRH;02.06.1932 00:00;;;4.5;-2.3;;
GRH;03.06.1932 00:00;;;6.1;-0.8;;
GRH;04.06.1932 00:00;;;6.8;-0.2;;
GRH;05.06.1932 00:00;;;7.4;0.3;;
GRH;06.06.1932 00:00;;;1.6;-5.7;;
GRH;07.06.1932 00:00;;;-1.5;-8.9;;
GRH;08.06.1932 00:00;;;-1.8;-9.3;;
GRH;09.06.1932 00:00;;;1.6;-6;;
GRH;10.06.1932 00:00;;;6.2;-1.5;;
GRH;11.06.1932 00:00;;;6.5;-1.3;;
GRH;12.06.1932 00:00;;;7.5;-0.4;;
GRH;13.06.1932 00:00;;;8.7;0.6;;
GRH;14.06.1932 00:00;;;9;0.8;;
GRH;15.06.1932 00:00;;;8.1;-0.2;;
GRH;16.06.1932 00:00;;;7.7;-0.7;;
GRH;17.06.1932 00:00;;;6.6;-1.8;;
GRH;18.06.1932 00:00;;;8;-0.5;;
GRH;19.06.1932 00:00;;;8.5;-0.1;;
GRH;20.06.1932 00:00;;;7.2;-1.5;;
GRH;21.06.1932 00:00;;;1.8;-7;;
